NumeroCarnet,CodigoCurso,Nota
100339724,160751.0,61
100339724,160748.0,89
100339724,160751.0,54
100339724,160748.0,74
100339724,160748.0,51
100339724,160748.0,100
100339724,160748.0,51
100339724,160748.0,93
100339724,160748.0,50
100339724,160748.0,96
100339724,160748.0,65
100339724,160751.0,55
100842598,160971.0,63
100842598,116297.0,57
100842598,109613.0,91
100842598,135598.0,61
100842598,122094.0,89
100842598,156518.0,79
100842598,146772.0,54
100842598,126172.0,70
100842598,108374.0,94
100842598,110138.0,61
100842598,116189.0,61
100842598,118021.0,96
100842598,121989.0,58
100842598,107397.0,66
100842598,112454.0,96
100842598,138398.0,79
100842598,117620.0,95
100842598,109339.0,53
100842598,109276.0,53
100842598,127073.0,64
100842598,131285.0,78
100842598,156726.0,88
100842598,156726.0,56
100842598,160444.0,87
100842598,121975.0,72
100842598,131493.0,93
100842598,118975.0,84
100842598,123623.0,60
100842638,118884.0,70
100842638,110965.0,69
100842638,108465.0,64
100842638,144344.0,76
100842638,113887.0,97
100842638,111231.0,68
100842638,110257.0,67
100842638,108465.0,55
100842638,125315.0,90
100842638,124154.0,62
100842638,124108.0,100
100842638,110966.0,65
100842638,111169.0,86
100842638,144344.0,85
100842638,112092.0,80
100842638,115525.0,68
100842638,111731.0,84
100842638,148230.0,70
100842638,125321.0,55
100842638,108465.0,59
100842638,117548.0,51
100842638,122762.0,61
100842638,118509.0,92
100842638,120869.0,97
100842638,112091.0,70
100842638,124108.0,87
100842638,115495.0,92
100842638,118509.0,57
100842638,112092.0,65
100842638,120869.0,94
100842638,121228.0,58
100842638,116745.0,86
100842638,120167.0,80
100842638,116755.0,51
100842638,122840.0,51
100842638,121332.0,72
100842638,115525.0,86
100842638,145282.0,81
100842638,118814.0,64
100842638,119763.0,70
100920539,116230.0,50
100920539,110520.0,75
100920539,122695.0,97
100920539,112976.0,50
100920539,123316.0,66
100920539,112639.0,57
100920539,123994.0,51
100920539,107367.0,81
100920539,112639.0,83
100920539,126035.0,57
100920539,123994.0,97
100920539,126035.0,68
100964116,122074.0,89
100964116,110742.0,98
100964116,136675.0,74
100964116,160229.0,67
100964116,122549.0,51
100964116,112745.0,83
100964116,110761.0,66
100964116,110742.0,74
100964116,118106.0,60
100964116,123215.0,60
100964116,111039.0,83
100986470,110766.0,82
100986470,126393.0,62
100986470,119002.0,55
100986470,108851.0,94
100986470,118016.0,81
100986470,159802.0,53
100986470,108851.0,50
100986470,119002.0,88
100986470,113431.0,57
100986470,110766.0,71
100986470,108851.0,55
100986470,117131.0,64
100986470,114027.0,78
100986470,114027.0,71
100986470,118016.0,59
100986470,123714.0,94
100986470,110766.0,64
100986470,110392.0,78
100986470,113943.0,86
100986470,114027.0,61
100986470,160736.0,93
100986470,113943.0,80
100986470,113943.0,87
100986470,120000.0,88
100986470,111696.0,62
100986470,123714.0,61
100986470,160736.0,95
100986470,123714.0,59
100986470,120000.0,57
100986470,159802.0,85
100986470,110766.0,83
100986470,110751.0,79
100986470,110766.0,79
100986470,113943.0,72
100986470,110095.0,82
100986470,111696.0,83
100986470,121306.0,64
100986470,126393.0,59
100986470,111696.0,95
100986470,119002.0,73
100996791,160717.0,51
100996791,160717.0,87
100996791,160717.0,80
100996791,160717.0,97
100996791,160717.0,64
100996791,160717.0,88
100996791,160717.0,92
100996791,160717.0,85
100996791,160717.0,86
100996791,160717.0,58
100996791,160717.0,64
100996791,160717.0,81
100996791,160717.0,95
100996791,160717.0,57
100996791,160717.0,51
100996791,160717.0,73
100996791,160717.0,67
100996791,160717.0,98
